10:26:13.828 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
10:26:13.854 |V| JetEnvironment                | :1                 | Commencing InitHost phase.
10:26:13.872 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR (no PID suffix).
10:26:13.872 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR (no PID suffix) has no value.
10:26:13.874 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_TEMP_DIR_PID_000085C2 (PID-specific).
10:26:13.874 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_TEMP_DIR_PID_000085C2 (PID-specific) has no value.
10:26:13.874 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
10:26:13.905 |V| JetHostParametersCaller       | :1                 | <Measured> "Host initialization"  time=36ms
10:26:13.906 |V| JetEnvironment                | :1                 | HostInit phase completed.
10:26:13.906 |V| JetEnvironment                | :1                 | Requesting FullPartCatalogSet.
10:26:13.917 |V| DeployedPackages              | :1                 | Initiating Deployed Package discovery for bindir /Users/mykytatishkin/Documents/GitHub/WhoKilledHim/Library/RiderFlow/2022.1.3.222/Backend~/bin.
10:26:13.923 |V| DeployedPackages              | :1                 | Scanning folder /Users/mykytatishkin/Documents/GitHub/WhoKilledHim/Library/RiderFlow/2022.1.3.222/Backend~/bin for Deployed Packages. Picking nugets? True!
